modelo,MAE,MSE,RMSE,R2
Regressão Linear,0.09554605518351339,0.018369687291143223,0.13553481947877166,0.616465166837014
Ridge,0.0955793902610314,0.01845753974083483,0.13585852840670265,0.6146309236024178
Lasso,0.09674848535731313,0.01896404665037036,0.1377100092599313,0.6040557276306131
