modelo,melhor_alpha,melhor_R2_CV,MAE_teste,MSE_teste,RMSE_teste,R2_teste
Ridge,1.0,0.6102307393331705,0.0955793902610314,0.01845753974083483,0.13585852840670265,0.6146309236024178
Lasso,0.001,0.6116994748812192,0.09686446294531065,0.01895727838932947,0.13768543274191888,0.6041970399909151
