modelo,MAE,MSE,RMSE,R2,MAE_CV,MSE_CV,RMSE_CV,R2_CV
Regressão Linear,0.09554605518351339,0.018369687291143223,0.13553481947877166,0.616465166837014,0.10327220431029079,0.02159671128608435,0.14695819570913476,0.609925957686106
Ridge,0.0955793902610314,0.01845753974083483,0.13585852840670265,0.6146309236024178,0.10324086075186803,0.021585139604877172,0.14691881977771662,0.6102307393331705
Lasso,0.09674848535731313,0.01896404665037036,0.1377100092599313,0.6040557276306131,0.10283894708820332,0.021582238833290097,0.14690894742421273,0.6107443322422882
