modelo,MAE_CV,MSE_CV,RMSE_CV,R2_CV
Regressão Linear,0.10327220431029079,0.02159671128608435,0.14695819570913476,0.609925957686106
Ridge,0.10324086075186803,0.021585139604877172,0.14691881977771662,0.6102307393331705
Lasso,0.10283894708820332,0.021582238833290097,0.14690894742421273,0.6107443322422882
